"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Speaker_CUI_CMR-1206S-67","~"
"C1","1","150nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2,C4","2","6n8","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C3","1","1000uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"C5","1","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C6","1","1.0uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C18,C19,C20,C21","14","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C17","1","10nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C22","1","22pF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C23,C26","2","1uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C24","1","4.7uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C25","1","22uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C27","1","470pF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C28","1","470nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C29","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","POWER","","","","LED_THT:LED_D5.0mm","~"
"D2","1","1N4004","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D3","1","Q","","","","LED_THT:LED_D5.0mm","~"
"D4,D5,D7,D8,D9,D11","6","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
